,Name,Under_13,Above_13,Doctors
21,Hepatitis C,"Hepatitis C vaccine (as prescribed), Sofosbuvir (as prescribed) and Daclatasvir (as prescribed)","Hepatitis C vaccine, Sofosbuvir, Daclatasvir","Hepatologist,Infectious Disease Specialist,Gastroenterologist"
22,Hepatitis D,"Interferon alfa (as prescribed ), Lamivudine (as prescribed) and Adefovir (as prescribed)","Interferon alfa, Lamivudine, Adefovir","Hepatologist,Infectious Disease Specialist,Nutritionist"
23,Hepatitis E,"Ribavirin (as prescribed), Peginterferon alfa (as prescribed) and Sofosbuvir (as prescribed)","Ribavirin, Peginterferon alfa, Sofosbuvir","Hepatologist,Gastroenterologist,Internal Medicine Physician"
24,Alcoholic hepatitis,"Corticosteroids (Cream), Pentoxifylline and Naltrexone","Corticosteroids, Pentoxifylline, Naltrexone","Hepatologist,Gastroenterologist,Nutritionist"
25,Tuberculosis,"Isoniazid (10 mg/kg), Rifampin (500 mg) and Ethambutol (400 mg)","Isoniazid, Rifampin, Ethambutol","Pulmonologist,Infectious Disease Specialist,Critical Care Physician"
26,Common Cold,"Acetaminophen (Syrup), Ibuprofen (Syrup) and pseudoephedrine (100 mg)","Acetaminophen, Ibuprofen, Pseudoephedrine","Primary Care Physician,Internist,Emergency Medicine Physician"
27,Pneumonia,"Azithromycin (250 mg), Levofloxacin (250 mg) and Ceftriaxone (500 mg)","Azithromycin, Levofloxacin, Ceftriaxone","Pulmonologist,Infectious Disease Specialist,Critical Care Physician"
28,Dimorphic hemmorhoids(piles),"Hydrocortisone (Syrup), Witch hazel and Lidocaine (as prescribed)","Hydrocortisone, Witch hazel, Lidocaine","Colorectal Surgeon,Proctologist,General Surgeon"
29,Heart attack,,"Aspirin, Nitroglycerin, Clopidogrel","Cardiologist,Emergency Medicine Physician,Interventional Cardiologist"
30,Varicose veins,,"Compression stockings, Sclerotherapy, Endovenous laser treatment","Vascular Surgeon,Interventional Radiologist,Cardiologist"
31,Hypothyroidism,,"Levothyroxine, Liothyronine, Desiccated thyroid extract","Endocrinologist,Primary Care Physician,Nutritionist"
32,Hyperthyroidism,,"Methimazole, Propylthiouracil, Radioactive iodine therapy","Endocrinologist,Primary Care Physician,Nutritionist"
33,Hypoglycemia,"Glucose tablets, Glucagon (1 mg) and Diazoxide (10 mg)","Glucose tablets, Glucagon, Diazoxide","Endocrinologist,Emergency Medicine Physician,Primary Care Physician"
34,Osteoarthristis,,"Acetaminophen, Ibuprofen, Naproxen","Rheumatologist,Orthopedic Surgeon,Physiatrist"
35,Arthritis,,"Acetaminophen, Ibuprofen, Naproxen","Rheumatologist,Orthopedic Surgeon,Physical Therapist"
36,(vertigo) Paroymsal  Positional Vertigo,"Meclizine, Diazepam (Syrup) and Epley maneuver","Meclizine, Diazepam, Epley maneuver","ENT Specialist,Neurologist,Otolaryngologist"
37,Acne,"Benzoyl peroxide (as prescribed), Salicylic acid (as prescribed) and Topical retinoids (as prescribed)","Benzoyl peroxide, Salicylic acid, Topical retinoids","Dermatologist,Plastic Surgeon,Cosmetic Dermatologist"
38,Urinary tract infection,"Trimethoprim-sulfamethoxazole (Syrup), Nitrofurantoin (50mg) and Ciprofloxacin (250 mg)","Trimethoprim-sulfamethoxazole, Nitrofurantoin, Ciprofloxacin","Urologist,Infectious Disease Specialist,Nephrologist"
39,Psoriasis,,"Topical corticosteroids, Calcipotriene, Coal tar","Dermatologist,Rheumatologist,Internist"
40,Impetigo,"Topical mupirocin (Cream), Oral cephalexin (125 mg) and Oral dicloxacillin (250 mg)","Topical mupirocin, Oral cephalexin, Oral dicloxacillin","Dermatologist,Infectious Disease Specialist,Pediatrician"
